project,STYLE,TOTAL_EXPERIMENTAL,TOTAL_INPUT_VALIDATION_BUGS,TOTAL_CORRECTNESS,TOTAL_SECURITY_REST,TOTAL_BAD_PRACTICE,TOTAL_I18N,CORRECTNESS,SECURITY_REST,TOTAL_PERFORMANCE,MALICIOUS_CODE,BAD_PRACTICE,TOTAL_MALICIOUS_CODE,MT_CORRECTNESS,I18N,PERFORMANCE,TOTAL_STYLE,TOTAL_MT_CORRECTNESS,INPUT_VALIDATION_BUGS,EXPERIMENTAL
org.apache.directory.shared||shared-all,312,40,NA,218,NA,545,350,82,NA,284,279,238,824,24,88,118,767,52,NA,15
jsch||jsch,79,39,NA,47,NA,172,1503,9,NA,141,51,42,224,5,124,32,185,28,NA,6
org.apache.ace||org.apache.ace.configurator.serveruseradmin,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.jbehave.web||jbehave-web-selenium,NA,NA,NA,2,NA,35,10,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA
org.apache.cxf.dosgi||cxf-dosgi-ri-topology-manager,3,NA,NA,2,NA,2,NA,2,NA,1,NA,2,NA,3,NA,1,3,3,NA,NA
org.nakedobjects||expenses-dom,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,6,NA,NA,NA
com.thoughtworks.paranamer||paranamer-asm,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,1,NA,2,NA,NA,NA
org.apache.servicemix.bundles||org.apache.servicemix.bundles.juel,2,NA,NA,5,NA,NA,5,1,NA,3,1,NA,5,NA,1,1,10,NA,NA,NA
geronimo||geronimo-mail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.directory.shared||shared-ldap-extras-trigger,NA,NA,NA,4,NA,NA,NA,1,NA,4,1,NA,4,NA,NA,1,NA,NA,NA,NA
org.apache.camel||maven-html-to-docbook,1,NA,NA,1,NA,6,2,1,NA,NA,NA,2,NA,NA,1,NA,2,NA,NA,NA
